"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
1970,0,1,0,5,0,0,0,0,0,0,0,"Bombing/Explosion","Business","Uruguay","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Government (Diplomatic)","Great Britain","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Police","Uruguay","Firearms","Handgun","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,0,0,1,0,0,1,"Armed Assault","Educational Institution","Uruguay","Firearms","Automatic Weapon","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Journalists & Media","Uruguay","Firearms","Handgun","South America","Tupamaros (Uruguay)"
1971,0,1,0,5,0,0,0,0,0,0,0,"Armed Assault","Educational Institution","Uruguay","Firearms","Handgun","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,0,0,1,1e+05,1e+05,0,"Hostage Taking (Kidnapping)","Business","Unknown","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Government (General)","Uruguay","Unknown","Unknown","South America","Tupamaros (Uruguay)"
1971,0,1,0,4,0,0,0,0,0,0,0,"Armed Assault","Journalists & Media","Uruguay","Firearms","Handgun","South America","Tupamaros (Uruguay)"
1971,0,1,0,5,0,0,0,6,0,0,6,"Bombing/Explosion","Journalists & Media","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1971,0,1,0,4,0,0,0,1,0,0,0,"Hostage Taking (Kidnapping)","Business","Germany","Unknown","Unknown","South America","Other"
1971,0,1,0,3,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Business","Great Britain","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1972,0,1,0,15,0,0,0,0,0,0,0,"Armed Assault","Private Citizens & Property","Argentina","Firearms","Automatic Weapon","South America","Montoneros (Argentina)"
1972,0,1,0,4,0,1,0,1,1e+06,0,1,"Hostage Taking (Kidnapping)","Business","Italy","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1972,0,1,0,4,0,0,0,1,220000,220000,0,"Hostage Taking (Kidnapping)","Business","Venezuela","Unknown","Unknown","South America","Red Flag (Venezuela)"
1972,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Montoneros (Argentina)"
1972,0,1,0,4,0,1,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Montoneros (Argentina)"
1972,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1972,0,1,0,4,0,0,0,2,25000,25000,2,"Hostage Taking (Kidnapping)","Educational Institution","Colombia","Unknown","Unknown","South America","National Liberation Army of Colombia (ELN)"
1972,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Military","Argentina","Firearms","Handgun","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1972,0,0,0,3,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Argentina","Firearms","Automatic Weapon","South America","Montoneros (Argentina)"
1973,0,1,0,4,0,0,0,1,20000,20000,1,"Hostage Taking (Kidnapping)","Business","Colombia","Unknown","Unknown","South America","National Liberation Army of Colombia (ELN)"
1973,0,1,0,4,0,0,0,3,0,0,0,"Hostage Taking (Kidnapping)","Business","Colombia","Unknown","Unknown","South America","Popular Liberation Army (EPL)"
1973,0,1,0,4,0,0,0,2,1e+06,1e+06,0,"Hostage Taking (Kidnapping)","Business","Colombia","Unknown","Unknown","South America","National Liberation Army of Colombia (ELN)"
1973,0,1,0,4,0,0,1,0,0,0,0,"Bombing/Explosion","Government (General)","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,8,0,0,0,0,0,0,0,"Armed Assault","Utilities","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Educational Institution","Argentina","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Montoneros (Argentina)"
1973,0,1,0,3,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Military","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,1,1e+06,1e+06,1,"Hostage Taking (Kidnapping)","Business","Great Britain","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,0,0,0,0,"Facility/Infrastructure Attack","Police","Argentina","Incendiary","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,11,0,0,0,0,0,0,0,"Armed Assault","Other","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,1,0,0,1,"Hostage Taking (Kidnapping)","Police","Argentina","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,0,0,0,0,0,0,"Bombing/Explosion","Business","United States","Explosives/Bombs/Dynamite","Unknown Explosive Type","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,0,0,4,0,1,1,2,0,0,1,"Hostage Taking (Kidnapping)","Business","United States","Unknown","Unknown","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
1973,0,1,0,4,0,1,0,0,0,0,0,"Assassination","Private Citizens & Property","Argentina","Firearms","Automatic Weapon","South America","Ejercito Revolucionaria del Pueblo (ERP) (Argentina)"
