"iyear","multiple","success","suicide","nperps","nperpcap","nkill","nwound","nhostkid","ransomamt","ransompaid","nreleased","attacktype1_txt","targtype1_txt","natlty1_txt","weaptype1_txt","weapsubtype1_txt","region_txt","gname"
2013,1,1,1,1,0,9,27,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,2,2,0,0,0,0,"Bombing/Explosion","Police","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,1,4,0,0,0,0,"Bombing/Explosion","Business","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,0,0,4,0,0,2,0,0,0,0,"Assassination","Police","Iraq","Explosives/Bombs/Dynamite","Unknown Explosive Type","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,1,1,0,4,0,1,3,0,0,0,0,"Bombing/Explosion","Police","Iraq","Explosives/Bombs/Dynamite","Sticky Bomb","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,1,0,4,21,0,0,0,0,"Bombing/Explosion","Government (General)","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,0,1,2,0,2,0,0,0,0,0,"Bombing/Explosion","Government (General)","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,1,1,0,4,6,0,0,0,0,"Assassination","Private Citizens & Property","Iraq","Explosives/Bombs/Dynamite","Suicide (carried bodily by human being)","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
2013,0,1,0,2,0,0,0,2,0,0,-99,"Hostage Taking (Kidnapping)","Business","Turkey","Unknown","Unknown","Middle East & North Africa","Kurdistan Workers' Party (PKK)"
2013,0,1,1,1,0,5,6,0,0,0,0,"Bombing/Explosion","Police","Iraq","Explosives/Bombs/Dynamite","Vehicle","Middle East & North Africa","Islamic State of Iraq and the Levant (ISIL)"
